Israeli Cyber Ecosystem — Deal Database | Lama Partners | Jun 2026 | 331 companies | 485 deal rows | Sources: PitchBook + Startup Nation Finder + Web Scraping,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY INFO — repeats on every deal row,,,,,,,,,,,,,,,,,,DEAL INFO — changes per row,,,,,META,
Company Name,Website,PitchBook URL,Founding Year,Employees,Description (1 line),HQ City / Region,HQ Country,Sector Tag,Founders,Military Unit,Last Role Before Founding,Founder LinkedIn (to fill),Angels Involved,Customers (public),Total Raised ($M),Post-Money Valuation ($M),Acquired?,Acquirer,Exit Size ($M),Round Type,Round Date,Round Size ($M),Lead Investor,Co-Investors,Round Valuation ($M),Source,Notes
IRONSCALES,ironscales.com,,2013,51-200,AI-driven Email Security Platform,Tel Aviv,Israel,Supply Chain Security,Eyal Benishti,8200,IDF Unit 8200 cybersecurity — email security focus,,,"Enterprise, mid-market, MSSPs globally — 13,000+ customers",95,,No,,,Series C,,95.0,,,,Startup Nation Finder,AI-powered email security. $95M raised. Series C K1 Investment Management.
IXDen,www.ixden.com,https://my.pitchbook.com/profile/234739-99/company/profile,2016,11,IoT behavioral analytics and anomaly detection for industrial and OT environments,Ramat G,Israel,OT / ICS / IoT,Leonid Cooperman Ph.D,Unknown,,,,,7.20,20.00,No,,,Later Stage VC,Mar 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Financial Software
IXDen,www.ixden.com,https://my.pitchbook.com/profile/234739-99/company/profile,2016,11,IoT behavioral analytics and anomaly detection for industrial and OT environments,Ramat G,Israel,OT / ICS / IoT,Leonid Cooperman Ph.D,Unknown,,,,,7.20,20.00,No,,,Accelerator,Jul 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Financial Software
Identiq,identiq.com,,,,Developer of an identity verification network designed to validate new users without sharing any sensitive customer d...,Tel Aviv,Israel,Identity & Access,"Shmuli Goldberg, Itai Cohen",8200,IDF Unit 8200 identity and fraud veterans,,,"Global financial institutions, e-commerce platforms",52,,No,,,Later Stage VC,Apr 2024,,,,,PitchBook (cyber_deals export),Private identity validation network — peer-to-peer identity verification without sharing data. $52M raised.
Illustria,illustria.io,https://my.pitchbook.com/profile/502761-52/company/profile,2021,12,Software supply chain security — open source package risk intelligence and monitoring,Israel,Israel,Supply Chain Security,,Unknown,,,,,1.50,3.63,No,,,Early Stage VC,May 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software | Software Development Applications
Infinipoint,www.infinipoint.io,https://my.pitchbook.com/profile/342161-29/company/profile,2019,20,Israeli cybersecurity company — Network Management Software,Israel,Israel,Security Operations,Ran Lampert,Unknown,,,,,14.50,9.59,No,,,Early Stage VC,Jun 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
InsidePacket,insidepacket.com,,2019,11-50,Enterprise IT Security Platform,Tel Aviv,Israel,Security Operations,,Unknown,,,,,6.8,,No,,,Seed,,6.8,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
Intezer,intezer.com,,2016,51-200,Streamlines Alert Triage and Incident Response,Tel Aviv,Israel,Security Operations,"Itai Tevet, Roy Halevi",8200,IDF Unit 8200 cybersecurity and intelligence,,,"Enterprise SOC teams, MSSPs globally",63,,No,,,Series C,,63.0,,,,Startup Nation Finder,SOC alert triage using code DNA analysis. $63M raised. Series C Glilot Capital.
IronVest,ironvest.com,,2022,11-50,Digital Security and Privacy,Tel Aviv,Israel,Data Security,,Unknown,,,,,23.0,,No,,,Seed,,23.0,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
Ironblocks,www.ironblocks.com,https://my.pitchbook.com/profile/509338-99/company/profile,2022,14,Web3 security — smart contract firewall and on-chain threat detection platform,Israel,Israel,GRC & Compliance,Or Dadosh,Unknown,,,,,7.00,19.08,No,,,Seed,Feb 2023,7.00,Collider Ventures,"Alan Leung, Balaji Srinivasan, Calvin Liu, Disruptive AI, Fos Finance, Lluis Pedragosa, Nimrod Lehavi, ParaFi Capital",19.08,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Irregular,irregular.ai,,2023,11-50,AI-security Lab for Next GenAI Threats,Tel Aviv,Israel,AI Security,Gal Shaul,8200,IDF Unit 8200 cybersecurity and AI research,,,Enterprise AI security teams,80,,No,,,Series A,,80.0,,,,Startup Nation Finder,AI-security lab. $80M raised. Series A Glilot Capital.
Island,island.io,,2020,,"Enterprise browser — security, productivity, and governance natively built into the browser",Dallas / Tel Aviv,Israel,Endpoint & XDR,"Mike Fey, Dan Amiga",Unknown,"Blue Coat, Symantec, Juniper",,,"Large enterprise, financial services, regulated industries",810.5,3000,No,,,,,,,,,PitchBook,Category creator. Enterprise browser = new security perimeter. $430M+ total raised.
Jazz Security,www.jazz.security,https://my.pitchbook.com/profile/994738-78/company/profile,2024,45,AI-driven data loss prevention — next-generation DLP for AI-era enterprise data flows,Israel,Israel,Data Security,Idan Livneh,Unknown,,,,,61.00,,No,,,Seed,Apr 2025,18.00,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Jazz Security,www.jazz.security,https://my.pitchbook.com/profile/994738-78/company/profile,2024,45,AI-driven data loss prevention — next-generation DLP for AI-era enterprise data flows,Israel,Israel,Data Security,Idan Livneh,Unknown,,,,,61.00,,No,,,Accelerator,Jan 2026,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Jazz Security,www.jazz.security,https://my.pitchbook.com/profile/994738-78/company/profile,2024,45,AI-driven data loss prevention — next-generation DLP for AI-era enterprise data flows,Israel,Israel,Data Security,Idan Livneh,Unknown,,,,,61.00,,No,,,Early Stage VC,Mar 2026,43.00,Glilot Capital,"Encoded Ventures, MassMutual Ventures, Merlin Ventures, Team8, Ten Eleven Ventures",,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Jazz Security,www.jazz.security,https://my.pitchbook.com/profile/994738-78/company/profile,2024,45,AI-driven data loss prevention — next-generation DLP for AI-era enterprise data flows,Israel,Israel,Data Security,Idan Livneh,Unknown,,,,,61.00,,No,,,Series A,,61.0,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Jigso (Business/Productivity Software),www.jigso.io,https://my.pitchbook.com/profile/513364-96/company/profile,2022,14,AI-powered enterprise intelligence — monitors business and security signals in real time,Israel,Israel,Security Operations,Or Shani,Unknown,,,,,9.47,,No,,,Seed,Mar 2023,2.07,"Jibe Ventures, Entrée Capital","Erez Ofer, General Catalyst",,PitchBook (cyber_deals export),Primary Industry: Business/Productivity Software. Network Management Software
Jigso (Business/Productivity Software),www.jigso.io,https://my.pitchbook.com/profile/513364-96/company/profile,2022,14,AI-powered enterprise intelligence — monitors business and security signals in real time,Israel,Israel,Security Operations,Or Shani,Unknown,,,,,9.47,,No,,,Early Stage VC,Jul 2025,7.40,,,,PitchBook (cyber_deals export),Primary Industry: Business/Productivity Software. Network Management Software
KELA,www.kelacyber.com,https://my.pitchbook.com/profile/61964-29/company/profile,2009,156,Israeli cybersecurity company — Network Management Software,Tel Av,Israel,Security Operations,Keren Farag Krygier,Unknown,,,,,50.00,200.00,No,,,Accelerator,Apr 2026,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
KOI,koi.security,,2024,,IDE extension supply chain security — detects malicious and compromised packages in developer environments,Tel Aviv,Israel,Supply Chain Security,"Amit Assaraf, Itamar Friedman, Uzi Tokayer",8200,Security researchers,,,500K+ endpoints including OpenAI,48,,No,Palo Alto Networks (in talks),~400,Early Stage VC,Sep 2025,38.00,"Battery Ventures, Team8, NFX","Cerca Partners, Picture Capital",,PitchBook (cyber_deals export),Founded 2024. In talks ~$400M Palo Alto acquisition (Jan 2026 reports).
KOI,koi.security,,2024,,IDE extension supply chain security — detects malicious and compromised packages in developer environments,Tel Aviv,Israel,Supply Chain Security,"Amit Assaraf, Itamar Friedman, Uzi Tokayer",8200,Security researchers,,,500K+ endpoints including OpenAI,48,,No,Palo Alto Networks (in talks),~400,Seed,Sep 2025,10.00,,,,PitchBook (cyber_deals export),Founded 2024. In talks ~$400M Palo Alto acquisition (Jan 2026 reports).
KTrust,www.ktrust.io,https://my.pitchbook.com/profile/572277-34/company/profile,2023,,Kubernetes and cloud-native security posture management and hardening,Israel,Israel,Cloud Security,Nadav Toledo,Unknown,,,,,5.40,,No,,,Seed,Feb 2024,5.40,Awz Ventures,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
KTrust,www.ktrust.io,https://my.pitchbook.com/profile/572277-34/company/profile,2023,,Kubernetes and cloud-native security posture management and hardening,Israel,Israel,Cloud Security,Nadav Toledo,Unknown,,,,,5.40,,No,,,Seed,,5.3,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Kairos,kairos.security,https://my.pitchbook.com/profile/1393082-74/company/profile,,,Security operations and incident response automation platform,Israel,Israel,Security Operations,Jonathan Weber,Unknown,,,,,,,No,,,Seed,Jan 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Business/Productivity Software
Kanopy Security,www.kanopysecurity.com,https://my.pitchbook.com/profile/530231-59/company/profile,2023,34,Identity and access security — behavioral analytics for insider threat and access risk,Israel,Israel,Identity & Access,Yair Finzi,Unknown,,,,,8.00,,No,,,Seed,Jun 2023,8.00,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Karamba Security,karambasecurity.com,,2016,11-50,Embedded Security for Connected Systems,Tel Aviv,Israel,Security Operations,,Unknown,,,,,27.0,,No,,,Series B,,27.0,,,,Startup Nation Finder,Stage: B. Business Model: B2B.
Knostic,knostic.ai,,2023,11-50,Risk Management and Governance for Enterprise LLM,Tel Aviv,Israel,AI Security,,Unknown,,,,,14.3,,No,,,Seed,,14.3,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
Kodem,www.kodemsecurity.com,https://my.pitchbook.com/profile/522065-08/company/profile,2021,50,Israeli cybersecurity company — Business/Productivity Software,Israel,Israel,Security Operations,Aviv Mussinger,Unknown,,,,,37.00,,No,,,Early Stage VC,Jun 2023,18.00,Greylock,TPY Capital,,PitchBook (cyber_deals export),Primary Industry: Business/Productivity Software. Network Management Software
Kodem,www.kodemsecurity.com,https://my.pitchbook.com/profile/522065-08/company/profile,2021,50,Israeli cybersecurity company — Business/Productivity Software,Israel,Israel,Security Operations,Aviv Mussinger,Unknown,,,,,37.00,,No,,,Early Stage VC,Oct 2025,12.00,,,,PitchBook (cyber_deals export),Primary Industry: Business/Productivity Software. Network Management Software
Kovrr,kovrr.com,,2018,,Cyber risk quantification — financial modeling platform for quantifying cyber risk for boards and insurers,Tel Aviv,Israel,GRC & Compliance,"Yakir Golan, Netanel Davidi",Unknown,"Actuarial, risk management",,,"Insurance companies, enterprises, reinsurers",,,No,,,Later Stage VC,Dec 2023,,,,,PitchBook (cyber_deals export),Battery Ventures + Cerca Partners backed.
Kovrr,kovrr.com,,2018,,Cyber risk quantification — financial modeling platform for quantifying cyber risk for boards and insurers,Tel Aviv,Israel,GRC & Compliance,"Yakir Golan, Netanel Davidi",Unknown,"Actuarial, risk management",,,"Insurance companies, enterprises, reinsurers",,,No,,,Later Stage VC,Jan 2025,0.05,,,,PitchBook (cyber_deals export),Battery Ventures + Cerca Partners backed.
LOCKONCAM,www.lockoncam.com,https://my.pitchbook.com/profile/535093-66/company/profile,2014,7,Physical and cyber security convergence — surveillance and access control platform,Israel,Israel,OT / ICS / IoT,Eli Antopolsky,Unknown,,,,,,,No,,,Equity Crowdfunding,May 2024,,,,,PitchBook (cyber_deals export),"Primary Industry: Electronic Equipment and Instruments. Computers, Parts and Peripherals | Network Management Software | Other Hardware"
Laminar,laminar.ai,,2020,,Cloud data security and DSPM — automated data discovery and classification across cloud,Tel Aviv,Israel,Data Security,"Amit Shaked, Ronen Shapir",8200,Israeli military intelligence,,,Enterprise cloud teams,62,,Yes,Rubrik,Undisclosed,,,,,,,PitchBook,Acquired by Rubrik 2023.
Lasso,www.lasso.security,https://my.pitchbook.com/profile/539808-85/company/profile,2023,50,Enterprise GenAI security — LLM security and AI guardrails for enterprise AI deployments,Israel,Israel,AI Security,Elad Schulman,Unknown,,,,,28.00,120.00,No,,,Seed,Jun 2023,6.00,Entrée Capital,"AAlchemy Ventures, ClearSky, Ferocity Capital, iAngels, Mindset Ventures, Samsung NEXT Ventures",19.50,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Lasso,www.lasso.security,https://my.pitchbook.com/profile/539808-85/company/profile,2023,50,Enterprise GenAI security — LLM security and AI guardrails for enterprise AI deployments,Israel,Israel,AI Security,Elad Schulman,Unknown,,,,,28.00,120.00,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Lasso,www.lasso.security,https://my.pitchbook.com/profile/539808-85/company/profile,2023,50,Enterprise GenAI security — LLM security and AI guardrails for enterprise AI deployments,Israel,Israel,AI Security,Elad Schulman,Unknown,,,,,28.00,120.00,No,,,Seed,Sep 2025,22.00,,,120.00,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
LatticaAI,www.lattica.ai,https://my.pitchbook.com/profile/552527-20/company/profile,2023,8,Privacy-preserving AI and secure multi-party computation platform,Israel,Israel,AI Security,Rotem Tsabary,Unknown,,,,,3.55,,No,,,Early Stage VC,Jan 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
LatticaAI,www.lattica.ai,https://my.pitchbook.com/profile/552527-20/company/profile,2023,8,Privacy-preserving AI and secure multi-party computation platform,Israel,Israel,AI Security,Rotem Tsabary,Unknown,,,,,3.55,,No,,,Early Stage VC,Apr 2024,0.30,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
LatticaAI,www.lattica.ai,https://my.pitchbook.com/profile/552527-20/company/profile,2023,8,Privacy-preserving AI and secure multi-party computation platform,Israel,Israel,AI Security,Rotem Tsabary,Unknown,,,,,3.55,,No,,,Early Stage VC,Apr 2025,3.25,Cyber.Fund,"Lightshift Capital, Sandeep Nailwal, Sentient, XT Venture Capital, Zero Knowledge",,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
LatticaAI,www.lattica.ai,https://my.pitchbook.com/profile/552527-20/company/profile,2023,8,Privacy-preserving AI and secure multi-party computation platform,Israel,Israel,AI Security,Rotem Tsabary,Unknown,,,,,3.55,,No,,,Pre-Seed,,3.25,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
LayerX Security,www.layerxsecurity.com,https://my.pitchbook.com/profile/498110-50/company/profile,2021,80,Browser-native security — enterprise browser security and AI-powered threat detection,Israel,Israel,Endpoint & XDR,Or Eshed,Unknown,,,,,45.08,61.76,No,,,Early Stage VC,Apr 2025,37.00,Glilot Capital Partners,"Dell Technologies Capital, Jump Capital",61.76,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Database Software
Legion Security,www.legionsecurity.ai,https://my.pitchbook.com/profile/720885-88/company/profile,2024,50,AI-powered endpoint security and threat detection platform,Israel,Israel,Endpoint & XDR,Ely Abramovitch,Unknown,,,,,37.83,131.00,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Security Services (B2B)
Legion Security,www.legionsecurity.ai,https://my.pitchbook.com/profile/720885-88/company/profile,2024,50,AI-powered endpoint security and threat detection platform,Israel,Israel,Endpoint & XDR,Ely Abramovitch,Unknown,,,,,37.83,131.00,No,,,Early Stage VC,Jul 2025,37.83,"Coatue Management, Accel",Picture Capital,131.00,PitchBook (cyber_deals export),Primary Industry: Security Services (B2B)
Legion Security,www.legionsecurity.ai,https://my.pitchbook.com/profile/720885-88/company/profile,2024,50,AI-powered endpoint security and threat detection platform,Israel,Israel,Endpoint & XDR,Ely Abramovitch,Unknown,,,,,37.83,131.00,No,,,Series A,,38.0,,,,PitchBook (cyber_deals export),Primary Industry: Security Services (B2B)
Libra Security,www.libra-security.io,https://my.pitchbook.com/profile/631439-83/company/profile,,,Security risk management and governance platform,Israel,Israel,GRC & Compliance,,Unknown,,,,,,,No,,,Early Stage VC,Aug 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Linx Security,linxsecurity.com,,2023,51-200,Identity Security Solution for Enterprises,Tel Aviv,Israel,Identity & Access,"Israel Duanis, Niv Goldenberg",8200 / Talpiot,Israel Duanis: co-founded Fleetonomy (acq Via 2020) + VP Threat Prevention Check Point; Niv Goldenberg: VP Product Transmit Security,,"Assaf Rappaport, Yinon Costica (Wiz founders), Mickey Boodaei, Rakesh Loonkar",Enterprise Fortune 500 identity security,83,,No,,,Series B,,83.0,,,,Startup Nation Finder,'Doing for identity what Wiz did for cloud.' CyberStarts + Index led Series A $33M. Series B $50M Mar 2026.
Lumia Security,lumiasec.io,,2024,11-50,Enabling Enterprises to Build Secure AI,Tel Aviv,Israel,Security Operations,,Unknown,,,,,18.0,,No,,,Seed,,18.0,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
LuminAI Security,www.luminaisec.com,https://my.pitchbook.com/profile/896829-31/company/profile,2024,,AI-native security platform for enterprise threat detection and autonomous response,Israel,Israel,AI Security,Natan Katz,Unknown,,,,,,,No,,,Early Stage VC,Jan 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
MIND,mind.security,,2022,51-200,Data Security Platform that Automates DLP and IRM,Tel Aviv,Israel,Data Security,"Eran Barak, Itai Schwartz",8200,IDF Unit 8200 cybersecurity veterans — data security and DLP,,,Enterprise security teams — DLP and IRM automation,41,,No,,,Series A,,41.0,,,,Startup Nation Finder,AI-powered DLP and IRM automation. $41M raised. Series A Ballistic Ventures.
Magellanic,www.magellanic.ai,https://my.pitchbook.com/profile/532558-63/company/profile,2023,5,Cloud security and compliance automation for multi-cloud environments,Israel,Israel,Cloud Security,,Unknown,,,,,,,No,,,Accelerator,Apr 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Magellanic,www.magellanic.ai,https://my.pitchbook.com/profile/532558-63/company/profile,2023,5,Cloud security and compliance automation for multi-cloud environments,Israel,Israel,Cloud Security,,Unknown,,,,,,,No,,,Accelerator,Sep 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Malanta (Network Management Software),www.malanta.ai,https://my.pitchbook.com/profile/1158806-53/company/profile,2024,20,Security operations and enterprise threat management platform,Is,Israel,Security Operations,Kobi Ben-Naim,Unknown,,,,,10.00,21.20,No,,,Seed,Nov 2025,10.00,Cardumen Capital,"Amit Greener, Benny Schneider, Ehud Mokady, Harel Prag, Hustle & Trust Ventures, The Group Ventures",21.20,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Malanta.ai,malanta.ai,,2024,11-50,Redefining Cybersecurity with Advanced Asset Protection,Tel Aviv,Israel,OT / ICS / IoT,,Unknown,,,,,10.0,,No,,,Seed,,10.0,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
Mars Security,mars.security,,2024,,Autonomous threat hunting — AI agents performing proactive SOC threat detection,Tel Aviv,Israel,Security Operations,Unknown,Unknown,Security operations,,,,,,No,,,Early Stage VC,Sep 2025,8.50,,,,PitchBook (cyber_deals export),AWS & CrowdStrike accelerator. Autonomous threat hunting = agentic SOC labor replacement.
Mars Security,mars.security,,2024,,Autonomous threat hunting — AI agents performing proactive SOC threat detection,Tel Aviv,Israel,Security Operations,Unknown,Unknown,Security operations,,,,,,No,,,Accelerator,Jan 2026,,,,,PitchBook (cyber_deals export),AWS & CrowdStrike accelerator. Autonomous threat hunting = agentic SOC labor replacement.
Mate Security,www.mate.security,https://my.pitchbook.com/profile/958292-65/company/profile,2025,,AI-powered security operations platform — SOC automation and analyst augmentation,Israel,Israel,Security Operations,Oren Saban,Unknown,,,,,8.70,23.00,No,,,Seed,Jul 2025,8.70,Insight Partners (New York),"Team8, U&I Ventures",23.00,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Mate Security,www.mate.security,https://my.pitchbook.com/profile/958292-65/company/profile,2025,,AI-powered security operations platform — SOC automation and analyst augmentation,Israel,Israel,Security Operations,Oren Saban,Unknown,,,,,8.70,23.00,No,,,Accelerator,Jan 2026,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Mate Security,www.mate.security,https://my.pitchbook.com/profile/958292-65/company/profile,2025,,AI-powered security operations platform — SOC automation and analyst augmentation,Israel,Israel,Security Operations,Oren Saban,Unknown,,,,,8.70,23.00,No,,,Seed,,15.5,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
MazeBolt,www.mazebolt.com,https://my.pitchbook.com/profile/86986-18/company/profile,2013,34,Israeli cybersecurity company — Network Management Software,Ramat Gan 5252007,Israel,Security Operations,Matthew Andriani,Unknown,,,,,10.00,,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Memcyco,memcyco.com,,2021,51-200,Digital Trust Technologies,Tel Aviv,Israel,Security Operations,"Israel Mazin, Tal Florentin",8200,IDF Unit 8200 cybersecurity veterans — web fraud,,,"Banks, financial services, e-commerce platforms",47,,No,,,Series A,,47.0,,,,Startup Nation Finder,Digital trust and anti-impersonation platform. $47M raised. Series A Capri Ventures.
Mend.io,mend.io,,2011,201-500,Integrated Application Security Platform,Tel Aviv,Israel,Application Security,"Rami Sass, Guy Podjarny (early advisor), Dror Raskin",8200,Rami Sass: CTO roles in enterprise software; Dror Raskin: enterprise R&D leadership,,,"Microsoft, Google, Intel, Capital One, IBM",121,,No,,,Series D,,121.0,,,,Startup Nation Finder,Application security platform (formerly WhiteSource). $121M raised. Series D Insight Partners.
Mesh Security,meshsecurity.io,,2021,11-50,Zero Trust Posture Management Solution,Tel Aviv,Israel,Security Operations,,Unknown,,,,,16.5,,No,,,Series A,,16.5,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
Miggo Security,www.miggo.io,https://my.pitchbook.com/profile/594181-54/company/profile,2022,51,Runtime application security — application detection & response (ADR) protecting apps in production,Israel,Israel,Application Security,Daniel Shechter,Unknown,,,,,24.67,46.76,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Miggo Security,www.miggo.io,https://my.pitchbook.com/profile/594181-54/company/profile,2022,51,Runtime application security — application detection & response (ADR) protecting apps in production,Israel,Israel,Application Security,Daniel Shechter,Unknown,,,,,24.67,46.76,No,,,Seed,Apr 2024,7.67,YL Ventures,"Cyber Club London, Runtime Ventures",19.59,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Miggo Security,www.miggo.io,https://my.pitchbook.com/profile/594181-54/company/profile,2022,51,Runtime application security — application detection & response (ADR) protecting apps in production,Israel,Israel,Application Security,Daniel Shechter,Unknown,,,,,24.67,46.76,No,,,Accelerator,May 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Miggo Security,www.miggo.io,https://my.pitchbook.com/profile/594181-54/company/profile,2022,51,Runtime application security — application detection & response (ADR) protecting apps in production,Israel,Israel,Application Security,Daniel Shechter,Unknown,,,,,24.67,46.76,No,,,Early Stage VC,Apr 2025,17.00,SYN Ventures,YL Ventures,46.76,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Mine,www.saymine.com,https://my.pitchbook.com/profile/279654-04/company/profile,2018,50,Israeli cybersecurity company — Network Management Software,Tel Aviv 6789,Israel,Security Operations,Gal Ringel,Unknown,,,,,42.50,,No,,,Accelerator,Mar 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Application Software | Other Services (B2C Non-Financial)
Mine,www.saymine.com,https://my.pitchbook.com/profile/279654-04/company/profile,2018,50,Israeli cybersecurity company — Network Management Software,Tel Aviv 6789,Israel,Security Operations,Gal Ringel,Unknown,,,,,42.50,,No,,,Later Stage VC,Dec 2023,30.00,PayPal Ventures,"Battery Ventures, Gradient Ventures, Headline, MassMutual Ventures, Saban Ventures",,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Application Software | Other Services (B2C Non-Financial)
Minimus,minimus.security,,2022,51-200,Security Governance Solutions,Tel Aviv,Israel,GRC & Compliance,"Daniel Peled, Daniel Maor",8200,IDF Unit 8200 cybersecurity veterans,,,Enterprise DevOps and security teams,51,,No,,,Seed,,51.0,,,,Startup Nation Finder,Security governance solutions — container security and minimal base images. $51M raised. Seed Glilot Capital.
Mitiga,mitiga.io,,2019,51-200,Cloud Incident Readiness and Response,Tel Aviv,Israel,Cloud Security,"Tal Mozes, Ariel Parnes, Ofer Maor",8200,"Ariel Parnes: IDF Lt Colonel, former cybersecurity chief MALMAB (Defense Ministry security)",,,"Fortune 500, financial services",75,,No,,,Series B,,75.0,,,,Startup Nation Finder,Cloud incident readiness and response. $75M raised. Series B Mastercard + SYN Ventures.
Modelyo,www.modelyo.com,https://my.pitchbook.com/profile/718216-21/company/profile,2024,24,Technology security infrastructure and third-party risk management platform,Israel,Israel,Cloud Security,Benny Meir,Unknown,,,,,,,No,,,Seed,Apr 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Modelyo,www.modelyo.com,https://my.pitchbook.com/profile/718216-21/company/profile,2024,24,Technology security infrastructure and third-party risk management platform,Israel,Israel,Cloud Security,Benny Meir,Unknown,,,,,,,No,,,Early Stage VC,Mar 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Morphisec,morphisec.com,,2014,51-200,Endpoint Threat Prevention,Tel Aviv,Israel,Endpoint & XDR,"Mordechai Guri, Ronen Yehoshua, Tal Leibovich",8200,Dr. Mordechai Guri: Head of Cyber Security Research Center at Ben Gurion University,,,"Healthcare, financial services, manufacturing — SMB and mid-market",51.5,,No,,,Growth,,51.5,,,,Startup Nation Finder,Moving Target Defense technology — memory protection against fileless attacks. $51.5M raised. Academic spinout from Ben Gurion University.
Multikol Voice Biometrics,www.multikol.com,https://my.pitchbook.com/profile/491590-45/company/profile,2018,7,Voice biometric authentication and anti-fraud platform for call centers and financial services,Israel,Israel,Identity & Access,Eddie Nevoani,Unknown,,,,,0.11,,No,,,Accelerator,May 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Nagomi Security,nagomisecurity.com,,2023,51-200,Proactive Security and Threat Exposure Management,Tel Aviv,Israel,Security Operations,,Unknown,,,,,29.0,,No,,,Series A,,29.0,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
Native,www.native.security,https://my.pitchbook.com/profile/994765-33/company/profile,2024,41,Cloud security control plane — unified cloud security permissions management,Israel,Israel,Cloud Security,Gal Ordo,Unknown,,,,,53.00,,No,,,Seed,Jan 2024,11.00,,,,PitchBook (cyber_deals export),Primary Industry: Infrastructure
Native,www.native.security,https://my.pitchbook.com/profile/994765-33/company/profile,2024,41,Cloud security control plane — unified cloud security permissions management,Israel,Israel,Cloud Security,Gal Ordo,Unknown,,,,,53.00,,No,,,Early Stage VC,Mar 2026,42.00,Ballistic Ventures,"General Catalyst, Merlin Ventures, SaaS Ventures, YL Ventures",,PitchBook (cyber_deals export),Primary Industry: Infrastructure
Neo Security,neosecurity.io,,2025,1-10,Stealth Mode Startup,Tel Aviv,Israel,Security Operations,,Unknown,,,,,25.0,,No,,,Seed,,25.0,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
NewCore,newcore.ai,,2025,11-50,Identity Security for Human and AI-agent Workforces,Tel Aviv,Israel,Identity & Access,,Unknown,,,,,66.0,,No,,,Seed,,66.0,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
